depth,msa-8,msa-10,msa-12,msa-14,msa-16,msa-20,msa-30,msa-32,msa-36,msa-38,msa-39,msa-40,msa-41,msa-42,msa-43,msa-46,msa-48,msa-49,msa-50
104.0,78.77225,78.376,57.689,119.4905,57.825,54.97275,74.57974999999999,62.1935,64.03750000000001,47.98,45.185,55.383,104.722,96.465,62.15,47.67875,57.5302190490561,72.269,48.396
105.0,76.9605,72.09075,54.713,119.21,58.969,39.724,97.4205,60.925,69.337,55.8355,50.94275,56.809250000000006,93.45125,110.156,59.8275,47.480500000000006,57.8853639211922,64.262,46.081
105.5,75.14875,65.8055,51.737,124.543,63.86025,41.66525,120.26125,59.6565,69.92325,63.691,56.7005,58.2355,82.1805,97.1875,57.505,47.282250000000005,58.2405087933283,69.23175,54.33925000000001
106.0,73.337,59.52025,48.761,129.876,68.75150000000001,43.6065,143.102,58.388,70.5095,71.54650000000001,62.45824999999999,59.66175,70.90975,84.219,55.1825,47.084,54.53511421881875,74.20150000000001,62.5975
107.0,76.43575,53.235,45.785,135.209,73.64275,45.54774999999999,128.05025,62.49375,71.09575000000001,79.402,68.216,61.088,59.639,71.2505,52.86,54.07300000000001,50.8297196443092,79.17125,70.85575
108.0,79.53450000000001,53.93675,55.5715,140.542,78.534,47.489,112.9985,66.5995,71.682,79.623,76.94825,60.4495,63.63925,58.282,52.3775,61.062000000000005,53.07697452641935,84.141,79.114
108.5,82.63325,54.6385,65.358,133.71575,86.91075000000001,48.211,97.94675,70.70525,74.588,79.844,85.6805,59.811,67.6395,65.46549999999999,51.895,68.051,55.3242294085295,79.57375,72.373
109.0,85.732,55.34025,75.1445,126.8895,95.2875,48.933,82.895,74.811,77.494,80.065,94.41275,59.1725,71.63975,72.649,51.4125,75.04,63.33829950962834,75.0065,65.632
110.0,91.588,56.042,84.931,120.06325,103.66425,49.655,90.08075,78.19025,80.4,80.286,103.145,58.534,75.64,79.83250000000001,50.93,72.9975,71.3523696107272,70.43925,58.891
111.0,97.444,54.1865,90.36275,113.237,112.041,50.377,97.2665,81.5695,83.306,76.593,90.673,62.26,82.22200000000001,87.016,52.297,70.95500000000001,70.99147638204764,65.872,52.15
111.5,103.3,52.331,95.7945,112.78875,108.77,53.7635,104.45225,84.94875,71.9165,72.9,78.201,65.986,88.804,89.19675000000001,53.664,68.91250000000001,70.6305831533681,64.038,48.73525
112.0,109.156,50.4755,101.22625,112.3405,105.499,57.150000000000006,111.638,88.328,60.527,69.207,65.729,69.712,95.386,91.3775,55.031000000000006,66.87,64.72570426983125,62.204,45.3205
113.0,108.2105,48.62,106.658,111.89225,102.228,60.5365,109.969,84.1255,49.1375,65.514,53.257,73.438,101.968,93.55825,56.398,67.20225,58.8208253862944,60.370000000000005,41.90575
114.0,107.265,47.94925,105.29525,111.444,98.957,63.923,108.3,79.923,37.748,70.14349999999999,58.147,75.587,100.37325,95.739,56.369,67.53450000000001,53.716205549135,58.536,38.491
114.5,106.3195,47.2785,103.9325,111.3215,98.40075,67.60725,106.631,75.7205,36.4515,74.773,63.03699999999999,77.736,98.7785,99.5825,56.34,67.86675,48.6115857119756,57.27775,38.325
115.0,105.374,46.60775,102.56975,111.199,97.8445,71.2915,104.962,71.518,35.155,79.4025,67.92699999999999,79.885,97.18375,103.426,56.311,68.199,60.655561645736455,56.0195,38.159
116.0,93.63575,45.937,101.207,111.0765,97.28825,74.97575,105.611,67.779,33.8585,84.032,72.817,82.034,95.589,107.2695,56.282,64.56075,72.6995375794973,54.76125,37.993
117.0,81.8975,59.867,101.87975,110.954,96.732,78.66,106.26,64.03999999999999,32.562,79.710625,73.9345,81.21100000000001,94.9424,111.113,52.32599999999999,60.9225,74.639488935696,53.503,37.827
117.5,70.15925,73.797,102.5525,102.89125,96.82975,72.632,106.909,60.301,46.764,75.38925,75.05199999999999,80.388,94.2958,98.70925,48.37,57.28425,76.5794402918947,70.864,36.34875
